pr_number,pr_owner,first_pr,pr_commits,pr_comments,merged,linked,sameOwner,comments,commentsB4,ownerComments,ownerCommentsB4,mergerComments,mergerCommentsB4
347,whiteinge,0,1,0,0,0,,,,,,,
346,carlosperello,0,1,0,0,1,0,0,0,0,0,,
344,carlosperello,0,3,0,0,0,,,,,,,
326,jonasbuckner,1,1,0,1,0,,,,,,,
327,andihit,0,1,0,0,0,,,,,,,
324,ktenney,0,1,0,1,0,,,,,,,
325,cedwards,0,1,0,1,0,,,,,,,
322,sfdc-kho,0,2,0,0,0,,,,,,,
320,epoelke,0,3,0,1,0,,,,,,,
321,wags007,0,2,0,1,0,,,,,,,
334,dekkers,0,1,0,0,0,,,,,,,
335,dekkers,0,1,0,0,0,,,,,,,
332,whiteinge,0,1,0,1,0,,,,,,,
333,dekkers,0,1,0,0,0,,,,,,,
331,mgwilliams,0,1,0,0,0,,,,,,,
329,andihit,0,1,0,0,0,,,,,,,
373,SEJeff,0,5,0,1,0,,,,,,,
372,SEJeff,0,1,0,1,0,,,,,,,
375,whiteinge,0,1,0,1,0,,,,,,,
374,SEJeff,0,11,1,1,0,,,,,,,
369,iamb,1,3,0,1,0,,,,,,,
368,KB1JWQ,0,2,0,1,0,,,,,,,
371,cedwards,0,2,0,1,0,,,,,,,
370,cedwards,0,2,0,1,0,,,,,,,
381,cedwards,0,3,0,1,0,,,,,,,
380,iamb,0,1,0,1,1,0,0,0,0,0,0,0
383,gldnspud,0,1,0,0,0,,,,,,,
382,whiteinge,0,1,0,1,0,,,,,,,
377,cedwards,0,1,0,1,0,,,,,,,
378,SEJeff,0,1,0,0,0,,,,,,,
357,mgwilliams,0,1,0,0,0,,,,,,,
358,mgwilliams,0,1,0,0,0,,,,,,,
359,mgwilliams,0,3,0,0,0,,,,,,,
352,carlosperello,0,1,0,0,0,,,,,,,
354,SEJeff,0,2,0,1,0,,,,,,,
355,slafs,0,1,0,0,0,,,,,,,
366,mgwilliams,0,9,0,0,0,,,,,,,
367,jonasvp,0,1,0,0,0,,,,,,,
360,carlosperello,0,4,0,0,0,,,,,,,
363,grierj,0,1,0,0,0,,,,,,,
410,cedwards,0,1,0,1,0,,,,,,,
411,mgwilliams,0,1,0,0,0,,,,,,,
408,iamb,0,2,0,1,0,,,,,,,
414,melinath,0,0,0,0,0,,,,,,,
415,KB1JWQ,0,1,0,1,0,,,,,,,
412,mgwilliams,0,1,0,0,0,,,,,,,
413,melinath,0,0,0,0,0,,,,,,,
402,SEJeff,0,12,0,1,0,,,,,,,
400,UtahDave,1,2,2,1,0,,,,,,,
401,UtahDave,0,1,6,1,0,,,,,,,
406,rizumu,1,1,0,1,0,,,,,,,
407,mb0,0,3,0,1,0,,,,,,,
404,axiom,0,1,0,0,0,,,,,,,
395,traviscline,0,1,0,0,1,0,3,3,0,0,,
394,mb0,0,1,0,1,0,,,,,,,
393,amuraru,0,1,0,0,0,,,,,,,
399,KB1JWQ,0,20,0,1,0,,,,,,,
398,melinath,0,0,0,0,0,,,,,,,
397,whiteinge,0,1,1,1,0,,,,,,,
396,mattrobenolt,0,0,0,0,0,,,,,,,
386,whiteinge,0,1,0,1,0,,,,,,,
385,emonty,0,1,0,0,0,,,,,,,
384,SEJeff,0,4,0,1,0,,,,,,,
391,seanchannel,0,1,0,0,0,,,,,,,
390,sfdc-kho,0,1,0,0,0,,,,,,,
441,UtahDave,0,2,0,1,0,,,,,,,
442,seanchannel,0,1,0,0,0,,,,,,,
443,seanchannel,0,1,0,0,0,,,,,,,
444,jcollie,1,2,0,1,0,,,,,,,
445,kjkuan,0,1,0,0,0,,,,,,,
446,UtahDave,0,3,0,1,0,,,,,,,
432,fatbox,1,1,0,1,0,,,,,,,
433,emidln,0,1,0,0,0,,,,,,,
434,emidln,0,1,0,0,0,,,,,,,
435,gavrie,0,1,0,0,0,,,,,,,
436,UtahDave,0,2,0,1,0,,,,,,,
437,whiteinge,0,1,0,1,0,,,,,,,
438,sibsibsib,0,1,0,0,0,,,,,,,
424,whiteinge,0,1,0,1,0,,,,,,,
427,whiteinge,0,1,0,1,1,0,3,2,1,1,1,1
429,whiteinge,0,1,0,1,1,0,1,1,1,1,0,0
428,whiteinge,0,1,0,1,0,,,,,,,
431,seanchannel,0,1,0,0,0,,,,,,,
430,whiteinge,0,2,0,1,0,,,,,,,
416,techhat,0,1,0,0,0,,,,,,,
418,techhat,0,1,0,0,0,,,,,,,
421,whiteinge,0,1,0,1,0,,,,,,,
423,whiteinge,0,1,0,1,0,,,,,,,
478,rubic,0,1,0,0,0,,,,,,,
479,UtahDave,0,5,0,1,0,,,,,,,
476,wraithan,0,0,0,0,0,,,,,,,
477,whiteinge,0,1,0,1,0,,,,,,,
474,herlo,0,1,0,1,0,,,,,,,
473,whiteinge,0,2,0,1,0,,,,,,,
470,whiteinge,0,1,0,1,0,,,,,,,
471,whiteinge,0,2,0,1,0,,,,,,,
468,SEJeff,0,5,0,1,0,,,,,,,
469,UtahDave,0,5,2,1,0,,,,,,,
466,SEJeff,0,1,0,1,1,0,1,1,0,0,1,1
467,herlo,0,2,0,1,0,,,,,,,
464,kjoconnor,0,20,0,0,0,,,,,,,
465,elasticdog,1,1,0,1,0,,,,,,,
462,pcarrier,0,1,0,0,0,,,,,,,
454,jesusaurus,0,1,0,0,0,,,,,,,
453,jcollie,0,1,0,0,0,,,,,,,
452,jcollie,0,1,0,1,0,,,,,,,
449,ydavid365,0,1,0,0,0,,,,,,,
509,syphernl,0,1,0,1,0,,,,,,,
510,syphernl,0,1,0,1,0,,,,,,,
511,kjoconnor,0,2,0,0,0,,,,,,,
504,SEJeff,0,3,0,1,0,,,,,,,
506,UtahDave,0,1,0,1,0,,,,,,,
507,syphernl,0,2,0,1,0,,,,,,,
501,byronclark,1,2,0,1,0,,,,,,,
502,benoitbryon,0,0,0,0,0,,,,,,,
496,amuraru,0,2,0,0,0,,,,,,,
498,syphernl,1,1,0,1,0,,,,,,,
499,SEJeff,0,1,0,1,0,,,,,,,
492,jesusaurus,0,1,0,0,0,,,,,,,
489,bastichelaar,0,2,0,1,0,,,,,,,
488,jesusaurus,0,3,0,0,0,,,,,,,
491,jesusaurus,0,1,0,0,0,,,,,,,
484,zyluo,1,1,6,1,1,0,6,0,3,0,3,0
487,bastichelaar,1,2,0,1,0,,,,,,,
486,jer,0,1,1,0,0,,,,,,,
481,iamb,0,2,0,1,0,,,,,,,
480,techhat,0,1,0,0,0,,,,,,,
483,iamb,0,5,0,1,0,,,,,,,
482,iamb,0,3,0,1,0,,,,,,,
550,terminalmage,0,5,7,1,0,,,,,,,
548,Lanzaa,1,1,1,1,0,,,,,,,
549,maspwr,0,1,0,0,0,,,,,,,
546,maspwr,0,1,0,0,0,,,,,,,
547,rubic,0,1,0,1,0,,,,,,,
544,maspwr,0,1,0,0,0,,,,,,,
559,tail,0,1,0,0,0,,,,,,,
556,maspwr,0,9,0,0,0,,,,,,,
553,terminalmage,0,1,0,1,0,,,,,,,
567,bastichelaar,0,14,2,1,0,,,,,,,
566,SEJeff,0,2,0,1,0,,,,,,,
565,SEJeff,0,1,0,1,0,,,,,,,
564,techhat,0,1,0,0,0,,,,,,,
562,terminalmage,0,1,0,1,0,,,,,,,
561,cedwards,0,1,0,1,0,,,,,,,
560,brutasse,0,0,0,0,0,,,,,,,
575,s0undt3ch,0,12,0,0,0,,,,,,,
573,herlo,0,1,0,1,0,,,,,,,
572,herlo,0,1,0,1,0,,,,,,,
571,Katafalkas,0,1,0,0,0,,,,,,,
570,aboe76,0,1,0,0,0,,,,,,,
569,jesusaurus,0,1,0,0,0,,,,,,,
568,taavi,0,1,3,0,0,,,,,,,
516,syphernl,0,9,3,0,0,,,,,,,
517,syphernl,0,1,0,1,0,,,,,,,
519,terminalmage,1,1,0,1,0,,,,,,,
512,byronclark,0,1,0,1,0,,,,,,,
513,vitaliyf,0,1,0,0,0,,,,,,,
524,rubic,1,1,0,1,1,0,8,6,4,2,4,4
525,rubic,0,1,0,1,0,,,,,,,
520,terminalmage,0,1,0,1,0,,,,,,,
521,UtahDave,0,1,0,1,0,,,,,,,
522,maspwr,0,6,0,0,0,,,,,,,
523,rca,0,5,0,0,0,,,,,,,
533,syphernl,0,2,1,1,0,,,,,,,
532,byronclark,0,1,0,1,0,,,,,,,
528,rubic,0,1,0,0,0,,,,,,,
530,fatbox,0,1,1,1,0,,,,,,,
541,fatbox,0,1,0,1,0,,,,,,,
540,maspwr,0,1,0,0,0,,,,,,,
543,rubic,0,1,0,1,0,,,,,,,
542,fatbox,0,3,2,1,0,,,,,,,
537,mafrosis,0,1,0,0,0,,,,,,,
536,aboe76,0,1,0,0,0,,,,,,,
538,rubic,0,3,0,1,0,,,,,,,
610,s0undt3ch,0,4,0,0,0,,,,,,,
